name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986
	DepreciationAmortizationDepletionIncomeStatement,"15,742,000","4,364,000","3,559,000","3,834,000","3,985,000","3,800,000","3,596,000","3,392,000","3,109,000","3,641,000","3,502,000","3,626,000","3,283,000","4,057,000","3,428,000","2,523,000","2,534,000","2,807,000","2,800,000","2,709,000","2,759,000","2,855,000","2,658,000","2,738,000","2,630,000","2,720,000","2,702,000","2,765,000","2,570,000","2,597,000","2,239,000","2,449,000","2,441,000","2,552,000","2,648,000","2,459,000","2,548,000","2,452,000","2,584,000","2,469,000","2,161,000","1,941,000","1,897,000","1,749,000","1,991,000","1,877,000","1,605,000","1,553,000","1,448,000","1,433,000","1,438,000","943,000","830,000","744,000","846,000","804,000","837,000","819,000","717,000","632,000","625,000","625,000","629,000","435,000","417,000","314,000","356,000","317,000","319,000","329,000",,,,,,,,,,,,,,,,"56,000","762,000","268,000","320,000","296,000","-1,265,000","800,000","800,000","800,000","800,000","700,000","700,000","700,000","1,000,000","900,000","1,000,000","1,100,000","900,000","1,000,000","1,200,000","1,100,000","1,200,000","1,200,000","1,100,000","1,200,000","1,200,000","1,200,000","900,000","900,000","900,000","900,000",,,,,,,"100,000","200,000","200,000","100,000","100,000","100,000",,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"15,742,000","4,364,000","3,559,000","3,834,000","3,985,000","3,800,000","3,596,000","3,392,000","3,109,000","3,641,000","3,502,000","3,626,000","3,283,000","4,057,000","3,428,000","2,523,000","2,534,000","2,807,000","2,800,000","2,709,000","2,759,000","2,855,000","2,658,000","2,738,000","2,630,000","2,720,000","2,702,000","2,765,000","2,570,000","2,597,000","2,239,000","2,449,000","2,441,000","2,552,000","2,648,000","2,459,000","2,548,000","2,452,000","2,584,000","2,469,000","2,161,000","1,941,000","1,897,000","1,749,000","1,991,000","1,877,000","1,605,000","1,553,000","1,448,000","1,433,000","1,438,000","943,000","830,000","744,000","846,000","804,000","837,000","819,000","717,000","632,000","625,000","625,000","629,000","435,000","417,000","314,000","356,000","317,000","319,000","329,000",,,,,,,,,,,,,,,,"56,000","762,000","268,000","320,000","296,000","-1,265,000","800,000","800,000","800,000","800,000","700,000","700,000","700,000","1,000,000","900,000","1,000,000","1,100,000","900,000","1,000,000","1,200,000","1,100,000","1,200,000","1,200,000","1,100,000","1,200,000","1,200,000","1,200,000","900,000","900,000","900,000","900,000",,,,,,,"100,000","200,000","200,000","100,000","100,000","100,000",,,,,,,,,,,,,,,,
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"846,000","804,000","837,000","819,000","717,000","632,000","625,000","625,000","629,000","435,000",,"314,000",,,,"329,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"846,000","804,000","837,000","819,000","717,000","632,000","625,000","625,000","629,000","435,000",,"314,000",,,,"329,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"117,934,000","30,110,000","32,423,000","28,136,000","27,265,000","31,186,000","33,908,000","31,899,000","31,850,000","34,313,000","34,253,000","26,007,000","41,282,000","54,131,000","41,530,000","39,238,000","38,315,000","33,896,000","33,081,000","27,911,000","26,539,000","25,690,000","27,661,000","24,293,000","23,564,000","24,763,000","25,824,000","21,968,000","20,423,000","20,499,000","21,068,000","21,738,000","17,461,000","19,405,000","17,806,000","18,601,000","19,294,000","19,305,000","20,260,000","20,708,000","17,711,000","18,329,000","16,555,000","17,954,000","18,605,000","15,634,000","13,658,000","13,082,000","13,008,000","12,759,000","11,856,000","9,783,000","9,260,000","8,357,000","8,098,000","8,119,000","6,905,000","6,143,000","4,553,000","3,712,000","2,298,000","2,238,000","2,199,000","1,824,000","1,507,000","1,182,000","1,118,000","1,133,000","1,191,000","1,208,000","114,000","1,000,000","741,000","551,000","192,000","659,000","218,000","622,000","20,000","467,000","6,000","301,000","713,000","-826,000","158,000","148,000","-2,549,000","-2,470,000","-3,447,000","-2,989,000","-8,320,000","-4,000,000","-4,700,000","-1,900,000","1,000,000","800,000","-1,600,000","200,000","-1,800,000","100,000","0","0","-2,700,000","-2,000,000","-1,900,000","-1,700,000","-1,100,000","-700,000","-300,000","500,000","500,000","-1,400,000","-2,100,000","-4,700,000","300,000","-1,700,000","-35,900,000","11,800,000","11,400,000","13,600,000","-38,800,000","12,300,000","0","-700,000","-100,000","200,000","0","1,300,000","-14,900,000","5,200,000","5,100,000","5,000,000","-16,300,000","5,500,000","5,700,000","4,300,000","-16,200,000","4,200,000","4,900,000","5,200,000","-15,000,000","5,600,000","5,500,000","5,500,000"
NetNonOperatingInterestIncomeExpense,"-43,405,000","-10,189,000","-11,810,000","-10,961,000","-10,445,000","-8,071,000","-7,644,000","-7,466,000","-7,118,000","-9,183,000","-9,730,000","-10,871,000","-11,634,000","-9,468,000","-8,910,000","-7,364,000","-5,665,000","-4,726,000","-4,248,000","-3,177,000","-2,553,000","-1,694,000","-1,363,000","-1,287,000","-1,744,000","-1,131,000","-1,845,000","-996,000","-581,000","-658,000","-2,131,000","-331,000","-81,000","-112,000","-90,000","-159,000","-190,000","-269,000","-460,000","-352,000","-202,000","-86,000","-39,000","-118,000","-30,000","-15,000","-11,000","-73,000","-119,000","-180,000","-227,000","-178,000","-234,000","-232,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"137,000","62,000","34,000","24,000","17,000","8,000","55,000","29,000","29,000","54,000","51,000","99,000","129,000","350,000","127,000","103,000","85,000","121,000","97,000","375,000","465,000","774,000","632,000","635,000","441,000","143,000","64,000","62,000","44,000","61,000","53,000","61,000","130,000","135,000","175,000","159,000","91,000","93,000","76,000","88,000","110,000","167,000","128,000","100,000","129,000","200,000","141,000","163,000","127,000","88,000","52,000","56,000","39,000","52,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"43,542,000","10,251,000","11,844,000","10,985,000","10,462,000","8,079,000","7,699,000","7,495,000","7,147,000","9,237,000","9,781,000","10,970,000","11,763,000","9,818,000","9,037,000","7,467,000","5,750,000","4,847,000","4,345,000","3,552,000","3,018,000","2,468,000","1,995,000","1,922,000","2,185,000","1,274,000","1,909,000","1,058,000","625,000","719,000","2,184,000","392,000","211,000","247,000","265,000","318,000","281,000","362,000","536,000","440,000","312,000","253,000","167,000","218,000","159,000","215,000","152,000","236,000","246,000","268,000","279,000","234,000","273,000","284,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-3,414,000","160,000","-908,000","-1,422,000","-1,244,000","-626,000","-6,609,000","-601,000","209,000","599,000","-1,888,000","-289,000","-298,000","-20,704,000","2,127,000","-914,000","-1,357,000","-588,000","-894,000","-400,000","-391,000","3,496,000","-839,000","1,740,000","-195,000","469,000","-354,000","1,137,000","330,000","892,000","-43,000","618,000","-475,000","335,000","1,656,000","-4,166,000","-1,548,000","-88,000","-314,000","-122,000","2,853,000","-296,000","3,099,000","-197,000","933,000","1,114,000","993,000","4,440,000","1,677,000","420,000","553,000","142,000","346,000","406,000","451,000","-24,000","100,000","59,000","-55,000","175,000","122,000","5,000","-22,000","-72,000","46,000","42,000","-78,000","-17,000","84,000","-9,000","43,000","-3,000","-2,000","10,000","69,000","1,000","-8,000","-49,000","-255,000","0","0","0","0","0","0","0","0","0",,"0",,,,,,,"2,100,000",,"-2,100,000","100,000","100,000","0","-1,300,000",,"-5,800,000","-100,000",,,"100,000","0",,,,,,,,,,,,,"0","0","-100,000","-100,000","100,000","-100,000",,,,,,,,,,,,,,,,
	GainOnSaleOfSecurity,"1,085,000","894,000","342,000","-160,000","9,000","-625,000","-499,000","-597,000","91,000","618,000","-1,881,000","-641,000","401,000","-255,000","2,127,000","-921,000","-1,357,000","-641,000","-894,000","-400,000","-391,000","3,496,000","-839,000","578,000","-195,000","469,000","-354,000","1,137,000","330,000","892,000","297,000","968,000","-475,000","335,000","1,656,000","60,000","-123,000","-170,000","172,000","-536,000","2,591,000","-296,000",,"-230,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,,,,,,,,,,,,,,,,,,,,"0",,,,"1,162,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,,,,,,,"-6,168,000","0","0","0","0","0","-688,000","-20,452,000",,,,,,,,,,,,,"0","0",,,"-340,000","-350,000",,,"0","-4,226,000",,,,"414,000","262,000",,"5,734,000","33,000","933,000","1,114,000","993,000","4,440,000","1,677,000","420,000","553,000","142,000","346,000","406,000","451,000","-24,000","100,000","59,000","-55,000","175,000","122,000","5,000","-22,000","-72,000","46,000","42,000","-78,000","-17,000","84,000","-9,000","43,000","-3,000","-2,000","10,000","69,000","1,000","-8,000","-49,000",,,,,,,,,,,,,,,,,,,"2,100,000",,"-2,100,000","100,000","100,000",,"-1,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,"0",,"688,000","20,452,000",,,,,,,,,,,,,,,,,"340,000","350,000",,,"0","4,226,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
