name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,09/30/2015,06/30/2015
		OtherCurrentLiabilities,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0",
	TotalNonCurrentLiabilitiesNetMinorityInterest,"3,362,316,000","3,259,191,000","3,145,757,000","3,054,617,000","3,084,372,000","2,982,261,000","3,079,143,000","2,205,525,000","1,863,380,000","1,868,282,000","1,826,381,000","1,823,911,000","1,820,457,000","1,781,265,000","1,823,372,000","822,370,000","806,696,000","770,462,000","19,500,000","19,500,000","19,500,000","19,500,000","19,500,000","19,500,000","19,500,000","19,500,000","0"
		LongTermProvisions,,,,,,,,,,,,,,"1,640,000",,,,"264,000",,,,,,,,,
		LongTermDebtAndCapitalLeaseObligation,"2,978,772,000","2,888,575,000","2,781,335,000","2,691,169,000","2,634,847,000","2,637,570,000","2,685,263,000","2,088,169,000","1,745,094,000","1,751,018,000","1,710,160,000","1,709,523,000","1,709,266,000","1,674,540,000","1,651,579,000","684,641,000","662,199,000","624,865,000",,,,,,,,,
			LongTermDebt,"2,790,842,000","2,694,319,000","2,598,300,000","2,506,295,000","2,454,024,000","2,453,809,000","2,498,207,000","1,971,010,000","1,625,772,000","1,632,589,000","1,710,160,000","1,709,523,000","1,709,266,000","1,674,540,000","1,651,579,000","684,641,000","662,199,000","624,865,000",,,,,,,,,
			LongTermCapitalLeaseObligation,"187,930,000","194,256,000","183,035,000","184,874,000","180,823,000","183,761,000","187,056,000","117,159,000","119,322,000","118,429,000",,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"367,480,000","354,879,000","346,687,000","332,492,000","315,244,000","307,541,000","371,409,000","81,328,000","79,683,000","83,035,000","78,848,000","76,804,000","77,304,000","98,668,000","152,759,000","118,620,000","125,247,000","145,224,000","19,500,000","19,500,000","19,500,000","19,500,000","19,500,000","19,500,000","19,500,000","19,500,000",
			NonCurrentDeferredTaxesLiabilities,"367,480,000","354,879,000","346,687,000","332,492,000","315,244,000","307,541,000","359,593,000","69,044,000","67,017,000","70,693,000","67,583,000","66,594,000","68,297,000","90,945,000","146,086,000","111,924,000","119,209,000","139,847,000",,,,,,,,,
			NonCurrentDeferredRevenue,,,,,,,"11,816,000","12,284,000","12,666,000","12,342,000","11,265,000","10,210,000","9,007,000","7,723,000","6,673,000","6,696,000","6,038,000","5,377,000",,,,,,,,,
		EmployeeBenefits,,,,,,,,,,,,,,,,,,,,,,,,,,"19,500,000",
			NonCurrentPensionAndOtherPostretirementBenefitPlans,,,,,,,,,,,,,,,,,,,,,,,,,,"19,500,000",
		DerivativeProductLiabilities,,"0","0","0","99,781,000",,,,,,,,,"6,192,000",,,,,,,,,,,,,
		RestrictedCommonStock,,,,,,,,,,,,,,,,,,,"474,284,150",,,,,,,,
		OtherNonCurrentLiabilities,"16,064,000","15,737,000","17,735,000","30,956,000","34,500,000","37,150,000","22,471,000","36,028,000","38,603,000","34,229,000","37,373,000","37,584,000","33,887,000","225,000","19,034,000","19,109,000","19,250,000","109,000",,"477,146,000","477,221,470","477,026,740","476,749,470","476,558,540","476,417,330","476,465,210",
TotalEquityGrossMinorityInterest,"1,966,185,000","1,996,763,000","1,956,584,000","2,005,413,000","2,005,889,000","2,141,277,000","2,094,505,000","705,090,000","681,073,000","708,955,000","683,939,000","684,470,000","693,931,000","702,197,000","730,709,000","476,620,000","478,099,000","484,550,000","479,284,159","482,146,001","482,221,471","482,026,743","481,749,479","481,558,543","481,417,339","481,465,218","20,000"
	StockholdersEquity,"1,966,185,000","1,996,763,000","1,956,584,000","2,005,413,000","2,005,889,000","2,141,277,000","2,094,505,000","705,090,000","619,316,000","644,365,000","621,496,000","621,999,000","630,643,000","638,215,000","664,331,000","428,463,000","429,792,000","435,619,000","479,284,159","482,146,001","482,221,471","482,026,743","481,749,479","481,558,543","481,417,339","481,465,218","20,000"
		CapitalStock,"22,000","22,000","23,000","23,000","23,000","23,000","23,000","12,000","12,000","12,000","12,000","12,000","12,000","12,000","11,000","9,000","9,000","9,000","474,285,628","477,147,479","477,222,948","477,028,220","476,750,953","476,560,024","476,418,815","476,466,825","1,380"
			PreferredStock,"0","0","0","0","0","0",,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0"
			CommonStock,"22,000","22,000","23,000","23,000","23,000","23,000","23,000","12,000","12,000","12,000","12,000","12,000","12,000","12,000","11,000","9,000","9,000","9,000","474,285,628","477,147,479","477,222,948","477,028,220","476,750,953","476,560,024","476,418,815","476,466,825","1,380"
			OtherCapitalStock,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0"
		AdditionalPaidInCapital,"3,536,906,000","3,616,902,000","3,655,587,000","3,756,563,000","3,782,649,000","3,797,168,000","3,825,940,000","2,471,312,000","2,402,195,000","2,396,501,000","2,394,091,000","2,392,085,000","2,390,184,000","2,389,548,000","2,390,188,000","2,123,101,000","2,122,047,000","2,121,926,000","4,221,097","4,337,409","4,261,943","4,456,671","4,733,938","4,924,867","5,066,076","5,013,186","23,620"
		RetainedEarnings,"-1,539,919,000","-1,591,090,000","-1,665,313,000","-1,726,416,000","-1,746,787,000","-1,618,707,000","-1,665,175,000","-1,681,427,000","-1,692,917,000","-1,689,373,000","-1,703,699,000","-1,704,188,000","-1,693,275,000","-1,683,319,000","-1,673,749,000","-1,640,230,000","-1,640,466,000","-1,636,819,000","777,434","661,113","736,580","541,852","264,588","73,652","-67,552","-14,793","-5,000"
		GainsLossesNotAffectingRetainedEarnings,"-30,824,000","-29,071,000","-33,713,000","-24,757,000","-29,996,000","-37,207,000","-66,283,000","-84,807,000","-89,974,000","-62,775,000","-68,908,000","-65,910,000","-66,278,000","-68,026,000","-52,119,000","-54,417,000","-51,798,000","-49,497,000",,,,,,,,,
	MinorityInterest,,,,,,"0","0","0","61,757,000","64,590,000","62,443,000","62,471,000","63,288,000","63,982,000","66,378,000","48,157,000","48,307,000","48,931,000",,,,,,,,,
TotalCapitalization,"4,757,027,000","4,691,082,000","4,554,884,000","4,511,708,000","4,459,913,000","4,595,086,000","4,592,712,000","2,676,100,000","2,245,088,000","2,276,954,000","2,331,656,000","2,331,522,000","2,339,909,000","2,312,755,000","2,315,910,000","1,113,104,000","1,091,991,000","1,060,484,000","479,284,159","482,146,001","482,221,471","482,026,743","481,749,479","481,558,543","481,417,339","481,465,218","20,000"
CommonStockEquity,"1,966,185,000","1,996,763,000","1,956,584,000","2,005,413,000","2,005,889,000","2,141,277,000","2,094,505,000","705,090,000","619,316,000","644,365,000","621,496,000","621,999,000","630,643,000","638,215,000","664,331,000","428,463,000","429,792,000","435,619,000","479,284,159","482,146,001","482,221,471","482,026,743","481,749,479","481,558,543","481,417,339","481,465,218","20,000"
CapitalLeaseObligations,"241,576,000","247,261,000","233,587,000","234,480,000","229,189,000","231,824,000","233,336,000","147,597,000","148,768,000","147,562,000",,,,,,,,,,,,,,,,,
NetTangibleAssets,"335,112,000","357,279,000","311,005,000","350,349,000","345,269,000","474,111,000","465,411,000","345,136,000","260,145,000","282,563,000","258,796,000","247,715,000","256,413,000","259,397,000","264,048,000","269,029,000","270,761,000","280,751,000","479,284,159","482,146,001","482,221,471","482,026,743","481,749,479","481,558,543","481,417,339","481,465,218","20,000"
WorkingCapital,"-33,676,000","-34,605,000","-64,328,000","-60,137,000","-44,558,000","-29,175,000","-37,074,000","349,754,000","-23,371,000","-27,824,000","3,194,000","11,124,000","26,616,000","-12,676,000","7,041,000","-21,883,000","-26,586,000","-27,947,000","-2,044,395","-1,017,075","-145,582","185,833","332,000","469,376","596,927","964,122","0"
InvestedCapital,"4,776,819,000","4,709,203,000","4,573,536,000","4,528,265,000","4,476,142,000","4,611,607,000","4,609,584,000","2,941,498,000","2,245,088,000","2,276,954,000","2,333,681,000","2,333,548,000","2,341,899,000","2,314,714,000","2,317,825,000","1,114,987,000","1,093,875,000","1,062,365,000","479,664,159","482,376,001","482,221,471","482,026,743","481,749,479","481,558,543","481,417,339","481,465,218","20,000"
TangibleBookValue,"335,112,000","357,279,000","311,005,000","350,349,000","345,269,000","474,111,000","465,411,000","345,136,000","260,145,000","282,563,000","258,796,000","247,715,000","256,413,000","259,397,000","264,048,000","269,029,000","270,761,000","280,751,000","479,284,159","482,146,001","482,221,471","482,026,743","481,749,479","481,558,543","481,417,339","481,465,218","20,000"
TotalDebt,"3,052,210,000","2,959,701,000","2,850,539,000","2,757,332,000","2,699,442,000","2,702,154,000","2,748,415,000","2,384,005,000","1,774,540,000","1,780,151,000","1,712,185,000","1,711,549,000","1,711,256,000","1,676,499,000","1,653,494,000","686,524,000","664,083,000","626,746,000","380,000","230,000",,,,,,,
NetDebt,"2,799,313,000","2,699,741,000","2,605,635,000","2,507,450,000","2,443,319,000","2,445,393,000","2,495,082,000","2,227,347,000","1,621,130,000","1,629,544,000","1,708,234,000","1,706,059,000","1,698,477,000","1,667,541,000","1,643,723,000","678,343,000","661,222,000","617,561,000","366,674","207,510",,,,,,,
ShareIssued,"223,174,389","223,939,527","223,665,627","226,832,627","226,815,146","229,038,158","227,980,928","121,233,232","110,555,295","108,818,854","108,751,354","108,699,126","108,693,209","108,508,997","100,303,003","84,644,744","84,644,774","84,644,774","49,704,329","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000"
OrdinarySharesNumber,"223,174,389","223,939,527","223,665,627","226,832,627","226,815,146","229,038,158","227,980,928","121,233,232","110,555,295","108,818,854","108,751,354","108,699,126","108,693,209","108,508,997","100,303,003","84,644,744","84,644,774","84,644,774","49,704,329","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000","50,000,000"
